STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,HUMMX,HUMMN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08
USW00094728,"NY CITY CENTRAL PARK, NY US",01-06-14,3.58,,0,0,0,,77,55,66,21,250,250,10.1,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",02-06-14,4.47,,0,0,0,,80,59,55,35,170,150,10.1,19,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",03-06-14,4.03,,0.12,0,0,,87,65,93,45,160,170,13,21.9,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",04-06-14,3.58,,0,0,0,,82,63,93,51,70,150,10.1,16.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",05-06-14,5.59,,0.87,0,0,,76,61,93,41,10,310,13,19.9,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",06-06-14,4.47,,0,0,0,,76,61,64,38,310,290,10.1,19.9,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",07-06-14,2.91,,0,0,0,,82,60,72,35,240,240,8.9,15,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",08-06-14,2.91,,0,0,0,,86,66,73,32,250,260,13,19,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",09-06-14,4.25,,1.6,0,0,,73,63,100,44,70,140,8.9,15,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",10-06-14,3.36,,0,0,0,,77,65,93,74,110,110,8.1,11,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",11-06-14,7.16,,0.02,0,0,,70,61,90,66,80,50,16.1,23,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",12-06-14,5.59,,0.07,0,0,,73,60,97,78,60,90,10.1,15,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",13-06-14,3.58,,1.28,0,0,,79,65,100,71,310,310,8.9,17,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",14-06-14,4.7,,0,0,0,,74,60,93,44,310,290,14.1,25.9,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",15-06-14,4.25,,0,0,0,,80,59,72,39,360,290,12.1,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",16-06-14,2.91,,0,0,0,,81,63,78,39,160,180,12.1,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",17-06-14,4.03,,0,0,0,,89,71,68,46,240,260,8.9,16.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",18-06-14,5.82,,0,0,0,,89,76,67,35,310,290,14.1,23.9,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",19-06-14,3.8,,0.15,0,0,,77,68,93,60,10,40,10.1,17,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",20-06-14,4.47,,0,0,0,,79,64,84,26,50,320,12.1,19,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",21-06-14,4.92,,0,0,0,,78,62,60,32,70,50,13,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",22-06-14,2.01,,0,0,0,,79,64,78,38,160,170,8.9,15,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",23-06-14,2.68,,0,0,0,,81,65,73,46,260,170,12.1,19,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",24-06-14,4.92,,0,0,0,,81,68,70,45,170,170,12.1,21,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",25-06-14,4.92,,0.08,0,0,,85,70,90,61,180,250,12.1,23.9,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",26-06-14,4.7,,0.07,0,0,,85,70,93,54,70,60,13,17,1,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",27-06-14,2.91,,0,0,0,,83,67,79,43,120,140,13,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",28-06-14,2.91,,0,0,0,,87,66,68,27,170,160,12.1,19.9,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",29-06-14,2.68,,0,0,0,,83,68,68,42,190,160,12.1,18.1,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",30-06-14,2.68,,0,0,0,,84,69,84,47,160,180,10.1,19.9,,,,,,
