Trip ID.,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,speed,tod
1,30-06-14 0:10,30-06-14 0:25,1,4.4,-73.994076,40.720134,-73.957112,40.680575,15.5,894,17.71812081,0
2,30-06-14 2:09,30-06-14 2:20,2,3,-74.007392,40.741116,-73.987471,40.765773,12,673,16.04754829,2
3,30-06-14 3:53,30-06-14 4:08,2,4.7,-74.005937,40.740136,-73.954163,40.778651,16,877,19.29304447,3
4,30-06-14 0:51,30-06-14 1:08,1,4.6,-73.986055,40.756408,-73.959327,40.811957,16,1020,16.23529412,0
5,30-06-14 1:04,30-06-14 1:13,1,2.5,-73.948077,40.706921,-73.959047,40.683061,9.5,558,16.12903226,1
6,30-06-14 0:06,30-06-14 0:30,1,5.9,-73.998451,40.750133,-74.027158,40.749733,60,1407,15.09594883,0
7,30-06-14 0:53,30-06-14 1:09,1,8,-73.988839,40.763557,-73.93057,40.853626,25,967,29.78283351,0
8,30-06-14 2:10,30-06-14 2:15,2,0.7,-74.012543,40.714992,-74.007223,40.708394,5.5,317,7.949526814,2
9,30-06-14 0:37,30-06-14 0:40,2,0.6,-73.990795,40.734907,-73.99181,40.72985,4.5,191,11.30890052,0
10,30-06-14 1:56,30-06-14 2:14,1,5.7,-73.969189,40.753998,-73.952813,40.736368,18.5,1030,19.9223301,1
11,30-06-14 0:24,30-06-14 0:34,1,1.5,-73.988154,40.745752,-73.969969,40.749726,8.5,574,9.407665505,0
12,30-06-14 6:30,30-06-14 6:40,1,2.3,-74.007697,40.732229,-73.985462,40.760319,10,595,13.91596639,6
13,30-06-14 7:06,30-06-14 7:15,1,2.2,-74.00644,40.733137,-73.983729,40.755702,9,497,15.93561368,7
14,29-06-14 0:36,29-06-14 1:03,1,4.5,-74.00398,40.707593,-73.986905,40.733157,20.5,1610,10.0621118,0
15,29-06-14 19:12,29-06-14 19:23,1,1.7,-74.009564,40.722147,-73.99985,40.743312,8.5,617,9.918962723,19
16,24-06-14 20:54,24-06-14 21:11,1,3.1,-73.966062,40.805351,-73.946806,40.772197,13.5,979,11.39938713,20
17,30-06-14 8:12,30-06-14 8:25,1,1.4,-73.988539,40.717687,-74.008939,40.718933,9.5,762,6.614173228,8
18,30-06-14 9:00,30-06-14 9:10,1,1.9,-73.962282,40.77396,-73.982184,40.762113,9,577,11.85441941,9
19,30-06-14 10:27,30-06-14 10:33,1,1.5,-73.989624,40.720947,-73.993921,40.736235,6.5,347,15.56195965,10
20,30-06-14 4:19,30-06-14 4:33,1,4.8,-73.999041,40.754526,-73.949501,40.802872,15.5,835,20.69461078,4
21,30-06-14 0:33,30-06-14 1:03,1,4.5,-73.981173,40.7742,-73.958608,40.815869,23.5,1802,8.990011099,0
22,30-06-14 1:24,30-06-14 1:34,1,1.9,-73.968446,40.70752,-73.939539,40.705696,9,627,10.90909091,1
23,30-06-14 0:02,30-06-14 0:12,1,2.5,-73.982122,40.760332,-73.950919,40.77151,10,639,14.08450704,0
24,30-06-14 0:19,30-06-14 0:25,2,1.9,-73.982163,40.778522,-73.964164,40.798049,8.5,415,16.48192771,0
25,30-06-14 1:00,30-06-14 1:02,1,0.8,-74.00233,40.7398,-73.994622,40.750433,4.5,132,21.81818182,1
26,30-06-14 7:06,30-06-14 7:10,1,1.1,-73.975052,40.749664,-73.973479,40.762988,5.5,239,16.56903766,7
27,30-06-14 6:54,30-06-14 6:59,1,1.1,-73.960311,40.766193,-73.974124,40.759605,6,294,13.46938776,6
28,30-06-14 10:27,30-06-14 10:53,2,1.1,-73.97649,40.749924,-73.986832,40.745229,15,1513,2.61731659,10
29,30-06-14 6:54,30-06-14 7:08,1,3.5,-74.015707,40.715553,-73.9832,40.752967,13.5,833,15.12605042,6
30,30-06-14 7:35,30-06-14 7:45,1,2.4,-73.99367,40.735177,-74.014349,40.713956,10.5,620,13.93548387,7
31,30-06-14 8:21,30-06-14 8:27,1,1.3,-74.007572,40.732759,-74.013747,40.714856,7,380,12.31578947,8
32,30-06-14 8:02,30-06-14 8:15,1,3.8,-73.946735,40.772184,-73.98308,40.731475,14.5,772,17.72020725,8
33,30-06-14 15:15,30-06-14 15:19,1,0.4,-73.967505,40.756129,-73.974088,40.758622,4.5,245,5.87755102,15
34,30-06-14 15:21,30-06-14 15:30,1,0.7,-73.974865,40.758984,-73.964569,40.760624,7,522,4.827586207,15
35,30-06-14 6:29,30-06-14 6:57,1,16.2,-73.977599,40.746742,-73.776503,40.645218,52,1634,35.69155447,6
36,30-06-14 6:14,30-06-14 6:24,1,2.4,-73.953581,40.772449,-73.982951,40.760117,10,577,14.97400347,6
37,30-06-14 4:35,30-06-14 5:07,1,17.9,-74.000032,40.743116,-73.78259,40.648771,52,1944,33.14814815,4
38,30-06-14 5:21,30-06-14 5:26,1,1.6,-73.959452,40.767617,-73.982371,40.766516,7,343,16.79300292,5
39,30-06-14 7:27,30-06-14 7:38,1,2.5,-73.978787,40.787381,-73.962067,40.763895,11,708,12.71186441,7
40,30-06-14 7:28,30-06-14 7:35,2,0.7,-73.991204,40.755713,-73.978186,40.752231,6.5,454,5.550660793,7
41,30-06-14 5:54,30-06-14 6:03,1,3,-73.990953,40.750709,-73.999013,40.744428,10.5,544,19.85294118,5
42,30-06-14 6:17,30-06-14 6:19,1,1.1,-73.994003,40.741444,-73.982653,40.752349,5,169,23.43195266,6
43,30-06-14 10:10,30-06-14 10:25,1,1.4,-73.992854,40.768364,-73.985717,40.753647,10.5,874,5.766590389,10
44,30-06-14 12:07,30-06-14 12:12,1,1.1,-73.949662,40.784932,-73.967743,40.793894,6.5,347,11.41210375,12
45,30-06-14 7:27,30-06-14 7:31,1,0.9,-73.979859,40.743356,-73.971449,40.755455,5.5,230,14.08695652,7
46,30-06-14 6:59,30-06-14 7:09,1,2,-73.959701,40.771063,-73.972377,40.746381,9.5,607,11.8616145,6
47,30-06-14 9:09,30-06-14 9:25,1,3.3,-73.994696,40.755565,-74.014889,40.716022,14,932,12.74678112,9
48,30-06-14 9:28,30-06-14 9:57,1,4.3,-74.014316,40.718098,-73.987462,40.748513,20.5,1727,8.963520556,9
49,30-06-14 4:55,30-06-14 5:00,2,1.3,-73.995272,40.754813,-73.994203,40.741085,6,261,17.93103448,4
50,30-06-14 6:26,30-06-14 6:36,1,2.1,-73.980267,40.748598,-74.00438,40.733413,10,633,11.94312796,6
51,30-06-14 9:37,30-06-14 9:47,3,1.1,-73.986093,40.753753,-74.000475,40.758105,7.5,547,7.239488117,9
52,29-06-14 16:41,29-06-14 16:53,1,4.6,-73.993673,40.718249,-73.95847,40.772873,15,689,24.03483309,16
53,30-06-14 0:03,30-06-14 0:22,1,5.3,-73.972908,40.759149,-73.983209,40.69378,19,1134,16.82539683,0
