TripNumber,StreetInTrip,StreetLength,SpeedLimit,EdgeID
1,1,35,78.13824928,1820
1,2,35,78.29138813,1799
1,3,35,81.48035469,1782
1,4,35,80.69084759,1779
1,5,35,87.33623932,1774
1,6,35,87.54810392,1766
1,7,35,80.5247552,1763
1,8,35,75.78538645,1762
1,9,35,74.02337536,1584
1,10,35,74.56250264,1585
1,11,35,74.14399841,1588
1,12,35,74.03778292,1631
2,1,15,31.29092936,239
2,2,25,48.12740456,243
2,3,25,5.090618822,248
2,4,25,112.3528532,245
2,5,35,94.12865467,244
2,6,35,12.70332181,252
2,7,35,170.0345716,251
2,8,35,29.61936716,435
2,9,25,20.49582396,434
2,10,35,56.57725538,432
2,11,35,23.35260082,428
2,12,35,99.22631196,429
2,13,35,64.82635961,375
2,14,35,10.51020766,12643
2,15,35,59.03234982,369
2,16,35,67.5569989,368
2,17,35,70.59013316,367
2,18,35,72.67773387,382
2,19,35,72.58201706,385
2,20,35,66.46592698,387
2,21,35,73.45578262,654
2,22,35,70.2438524,656
2,23,35,67.08952601,660
2,24,35,79.20115225,658
2,25,35,75.99308102,664
2,26,35,29.10465427,606
2,27,35,47.030724,601
2,28,35,32.23179331,603
2,29,35,47.99200038,593
2,30,35,48.11478515,591
2,31,35,83.75715671,596
2,32,35,98.05650667,587
2,33,35,134.8497482,584
2,34,35,124.8754101,817
2,35,35,160.9143934,826
2,36,35,162.9132337,1053
2,37,35,145.4286963,1049
2,38,35,16.47603411,1027
2,39,35,141.5779787,1026
2,40,35,165.8386505,1023
2,41,35,82.19868916,1113
2,42,35,80.58065835,1116
2,43,35,77.04323267,1015
2,44,35,78.1644011,1924
2,45,35,139.9326994,1920
2,46,35,55.93443894,1839
2,47,35,50.69052969,1841
2,48,35,75.10377953,1842
2,49,35,75.00518715,1845
2,50,35,73.78750165,1860
2,51,35,82.31550583,1858
2,52,35,82.21369351,1864
2,53,35,86.41167745,1866
2,54,35,87.36623797,1752
2,55,35,80.85385952,1747
2,56,35,74.85619346,1741
2,57,35,72.4529675,1744
2,58,35,75.98122202,1713
2,59,35,72.7601986,1709
2,60,35,75.20552373,1707
2,61,35,78.90885945,1698
2,62,35,85.99585386,1684
2,63,35,8.480336078,1687
2,64,35,34.78882194,1689
2,65,35,54.7037077,1669
2,66,35,29.41941631,1666
2,67,35,34.42249991,2296
2,68,35,79.13271511,2297
2,69,35,78.74376801,2300
2,70,35,77.15203238,2302
2,71,35,79.56240318,2313
2,72,35,76.83542646,2309
2,73,35,79.66794148,2330
2,74,35,70.0694798,2326
2,75,35,8.366510624,2321
2,76,35,78.91767863,2323
2,77,35,9.477858407,3046
2,78,35,74.62896556,3044
2,79,35,85.72870056,3039
2,80,35,78.58974297,3041
2,81,35,76.9095883,3025
2,82,35,78.28471754,3022
2,83,35,50.03586813,3019
2,84,35,29.69907911,3021
2,85,35,76.90373613,3015
2,86,35,81.35715642,3012
2,87,35,83.18227756,3011
2,88,35,82.91192013,3143
2,89,35,26.1570717,3146
3,1,35,80.16432935,6241
3,2,35,80.08835184,6239
3,3,35,79.41136254,6237
3,4,35,79.61532516,6106
3,5,35,79.47957594,6108
3,6,35,80.75017895,6109
3,7,35,79.29930138,6083
3,8,35,84.43192998,6082
3,9,35,154.0868122,6081
3,10,35,86.11085007,6068
3,11,35,81.36274455,6069
3,12,35,79.51952528,6072
4,1,35,80.76966015,5476
4,2,35,78.76823535,5478
4,3,35,79.8285018,5485
4,4,35,79.59004021,5488
4,5,35,79.44036757,5489
4,6,35,79.27717704,5530
4,7,35,132.9508108,5591
4,8,35,3.087069808,5589
4,9,35,91.74201055,5586
4,10,35,216.1534994,5601
